Coordenadas
"[332, 271]"
"[258, 233]"
"[247, 333]"
"[242, 318]"
"[247, 327]"
"[371, 298]"
"[342, 318]"
"[283, 299]"
"[243, 263]"
"[363, 310]"
"[281, 283]"
"[356, 261]"
"[237, 312]"
"[366, 350]"
"[339, 251]"
"[359, 256]"
"[333, 322]"
"[231, 278]"
"[368, 236]"
"[281, 344]"
"[356, 363]"
"[274, 234]"
"[258, 370]"
"[262, 244]"
"[358, 307]"
"[339, 291]"
"[308, 352]"
"[290, 353]"
"[340, 231]"
"[298, 289]"
"[235, 305]"
"[372, 346]"
"[275, 266]"
"[250, 359]"
"[280, 245]"
"[258, 290]"
"[283, 249]"
"[349, 292]"
"[273, 229]"
"[320, 343]"
"[342, 226]"
"[311, 235]"
"[341, 269]"
"[293, 275]"
"[226, 339]"
"[264, 230]"
"[344, 264]"
"[313, 315]"
"[227, 348]"
"[360, 261]"
"[242, 246]"
"[313, 283]"
"[253, 346]"
"[361, 253]"
"[273, 359]"
"[348, 263]"
"[298, 283]"
"[304, 317]"
"[345, 319]"
"[352, 238]"
"[374, 369]"
"[263, 231]"
"[239, 275]"
"[237, 231]"
"[283, 319]"
"[229, 231]"
"[239, 263]"
"[271, 361]"
"[369, 359]"
"[363, 258]"
"[284, 374]"
"[352, 311]"
"[362, 324]"
"[226, 349]"
"[236, 298]"
"[273, 225]"
"[370, 289]"
"[241, 295]"
"[225, 280]"
"[349, 325]"
"[292, 286]"
"[298, 307]"
"[320, 336]"
"[348, 318]"
"[267, 286]"
"[226, 317]"
"[358, 330]"
"[229, 252]"
"[329, 266]"
"[226, 299]"
"[362, 249]"
"[234, 313]"
"[289, 258]"
"[253, 240]"
"[272, 355]"
"[359, 356]"
"[231, 371]"
"[353, 234]"
"[277, 302]"
