Capacidad,Costo,Coordenadas,Emision
33,2546,"[285, 108]",62
35,1250,"[157, 520]",42
37,1473,"[584, 435]",24
29,3419,"[237, 456]",22
30,2486,"[251, 387]",34
26,1296,"[531, 72]",47
49,2492,"[225, 378]",45
29,1444,"[22, 115]",49
50,3761,"[180, 296]",52
46,1411,"[467, 527]",47
50,3363,"[155, 467]",34
9,3034,"[161, 224]",64
17,1016,"[72, 290]",58
34,1418,"[201, 61]",52
7,1371,"[185, 31]",62
58,3826,"[348, 180]",59
15,1285,"[11, 536]",21
4,1407,"[20, 243]",21
36,1062,"[235, 521]",60
55,1017,"[589, 430]",35
7,3369,"[261, 482]",36
48,2815,"[306, 109]",55
29,1228,"[392, 46]",41
52,1377,"[501, 46]",62
8,3072,"[278, 466]",26
29,3498,"[358, 449]",62
43,1311,"[494, 93]",45
8,1083,"[446, 6]",25
37,1244,"[437, 569]",44
37,1280,"[262, 29]",56
2,1492,"[72, 332]",69
37,1942,"[419, 341]",24
12,2747,"[436, 361]",39
59,2082,"[423, 478]",53
12,3350,"[443, 227]",47
53,1188,"[19, 127]",66
42,1365,"[361, 594]",62
46,1147,"[469, 66]",38
38,2793,"[106, 145]",66
32,1330,"[320, 40]",70
40,1071,"[136, 91]",61
15,2225,"[367, 451]",68
18,1921,"[397, 385]",66
14,3707,"[365, 439]",50
6,1147,"[425, 518]",65
11,1082,"[596, 109]",46
17,3440,"[332, 143]",47
37,1275,"[578, 66]",24
45,2651,"[418, 237]",55
38,2043,"[216, 125]",63
22,3924,"[380, 125]",27
58,2043,"[314, 463]",54
8,1157,"[190, 536]",27
51,1028,"[573, 118]",68
56,1492,"[86, 362]",70
47,1437,"[434, 538]",63
44,2011,"[172, 252]",64
8,1465,"[543, 191]",62
44,1446,"[63, 13]",63
17,3827,"[341, 496]",69
50,1144,"[504, 354]",35
6,3455,"[164, 371]",47
59,1299,"[126, 572]",23
35,1216,"[494, 548]",41
22,1566,"[132, 170]",60
54,1321,"[82, 279]",23
5,2810,"[484, 170]",49
51,1873,"[287, 404]",56
