Tamaño, Trabajadores, Tareas, presupuesto, Tiempo de ejecución
small, 15, 5, 102553, 96.44198417663574
small, 27, 8, 213478, 133.41498374938965
small, 39, 14, 296551, 198.8070011138916
small, 48, 19, 334908, 259.3240737915039
small, 59, 25, 448632, 443.47596168518066
medium, 85, 33, 620956, 823.4550952911377
medium, 122, 58, 964507, 1884.0687274932861
medium, 148, 62, 1012101, 2768.050193786621
medium, 170, 84, 1295710, 5389.873266220093
medium, 182, 92, 1320027, 5381.807088851929
large, 359, 100, 2573743, 11222.93210029602
large, 413, 152, 3021846, 20212.640047073364
large, 469, 205, 3566521, 53604.79116439819
large, 481, 259, 3530235, 95712.98289299011
large, 548, 263, 4265533, 181760.30802726746
